adjustablespanner_artec,0.376,2
bottlemetal_artec,0.23,4
bottleopener_artec,0.063,2
bottletapered_artec,0.24,3
bowl_artec,0.407,1
bowlchild_artec,0.051,1
can_artec,0.462,4
chineseknife_artec,0.276,1
choppingboard_artec,0.765,3
chopstick_artec,0.005,1
flask_artec,0.369,4
forkbig_artec,0.071,1
fryingpan_artec,0.861,1
fryingpan2_artec,0.85,1
hammer_artec,0.842,1
kitchenknife_artec,0.203,1
knifechinese2_artec,0.31,1
knifekitchen2_artec,0.18,1
knifekitchen3_artec,0.22,1
ladle_artec,0.061,2
measurecupsmall_artec,0.05,1
meshspatula_artec,0.061,1
mug1_artec,0.096,3
mug2_artec,0.329,2
pencil_artec,0.005,2
pizzacutter_artec,0.094,1
platebowl_artec,0.425,1
pliers_artec,0.128,1
ricespoon_artec,0.016,1
rollingpin1_artec,0.167,4
rollingpin2_artec,0.31,4
scissors_artec,0.165,1
scissorsbig_artec,0.033,1
scraper_artec,0.1,3
screwdriver_artec,0.339,4
servingspoon_artec,0.054,1
siliconespatula_artec,0.122,2
siliconespoon_artec,0.119,2
smallwoodenspoon_artec,0.012,1
spatulahole_artec,0.1,1
spatulaplasticgap_artec,0.08,1
spatulawoodgap1_artec,0.11,1
spatulawoodgap2_artec,0.12,1
spoonmetalplastic_artec,0.06,1
teapot_artec,0.47,3
teaspoon_artec,0.039,1
woodenspatula_artec,0.025,1
woodenspoon1_artec,0.06,1
woodenspoon2_artec,0.06,1
woodenspoon3_artec,0.06,1
