adjustablespanner_artec,0.376,4
bottlemetal_artec,0.23,3
bottleopener_artec,0.063,1
bottletapered_artec,0.24,1
bowl_artec,0.407,1
bowlchild_artec,0.051,1
can_artec,0.462,1
chineseknife_artec,0.276,2
choppingboard_artec,0.765,3
chopstick_artec,0.005,1
flask_artec,0.369,2
forkbig_artec,0.071,2
fryingpan_artec,0.861,4
fryingpan2_artec,0.85,4
hammer_artec,0.842,4
kitchenknife_artec,0.203,3
knifechinese2_artec,0.31,2
knifekitchen2_artec,0.18,3
knifekitchen3_artec,0.22,3
ladle_artec,0.061,1
measurecupsmall_artec,0.05,1
meshspatula_artec,0.061,2
mug1_artec,0.096,2
mug2_artec,0.329,1
pencil_artec,0.005,1
pizzacutter_artec,0.094,1
platebowl_artec,0.425,1
pliers_artec,0.128,2
ricespoon_artec,0.016,1
rollingpin1_artec,0.167,2
rollingpin2_artec,0.31,2
scissors_artec,0.165,1
scissorsbig_artec,0.033,1
scraper_artec,0.1,2
screwdriver_artec,0.339,1
servingspoon_artec,0.054,1
siliconespatula_artec,0.122,2
siliconespoon_artec,0.119,2
smallwoodenspoon_artec,0.012,2
spatulahole_artec,0.1,2
spatulaplasticgap_artec,0.08,2
spatulawoodgap1_artec,0.11,2
spatulawoodgap2_artec,0.12,2
spoonmetalplastic_artec,0.06,2
teapot_artec,0.47,1
teaspoon_artec,0.039,1
woodenspatula_artec,0.025,2
woodenspoon1_artec,0.06,2
woodenspoon2_artec,0.06,2
woodenspoon3_artec,0.06,2
